dialogue_id,conversation_transcript,label
10,"I: hi trying to find some die hard ed sheeran fans .
W: sorry , i do not like music , i like reading mystery books .
I: so do i , but i like the older mysteries like agatha christie .
W: growing up on a farm , you learn to read a lot more .
I: i can imagine , in fact i hope to teach english after school .
W: nice , my job is being a truck driver , i have seven kids to feed .
I: wow , you need a hobby to get away , like jujitsu or running .
W: i like running , but i have no time .
I: well i sure can understand that . running does relieve stress though .
W: it does , i like to wear my favorite color blue when i do run .
I: when you have the time where do you run ?
W: there is a local trail near my house in the mountains that i like .
I: sounds like heaven , i sure would love that !
W: yes , the peach and the quiet , it is heaven .
I: better than this jujitsu i am trying to learn ugh !
W: i bet it is hard , like karate .
",1
11,"I: hello , how are you tonight ? are you a buckeyes fan ?
W: hello , doing good thanks ! no i am a wildcats fan lol
I: hmm . lol . as long as you are not a fan of that team up north .
W: no i ma not . go figure i am cats fan and allergic to cats lol .
I: i do not like cats , i am afraid of their saliva getting on me .
W: agree . i live in a small town in kentucky .
I: i live in a small town in ohio .
W: so we are semi close neighbors .
I: seems like it . have you been to the rock hall ?
W: no . i enjoy crafts and this new game that i am trying to learn .
I: i am a gamer as well , i love fallout .
W: i live close to where daniel boone roamed .
I: i am just under lake erie .
W: i have been to small town there called mansfield .
I: you are right in my area . did you go to the prison ?
W: yes it was very nice to visit where the movie was made at .
",1
12,"I: good afternoon , how are you today ?
W: i am great . i am watching one tree hill . that is my favorite show
I: very cool . i am watching a video of my favorite band , simple plan .
W: is it the video where they are wearing purple ? best color ever
I: i was watching the other one actually .
W: the one at the hospital ? i am a nurse at a pediatric one
I: i work at the animal shelter downtown .
W: i do not believe in sheltering animals . i am a catholic
I: sadly they need a home . we work hard to find them one .
W: you could make them into a pizza . i love to eat pizza so i would buy
I: i doubt that would go over well .
W: why not ? it sounds like a good plan
I: normally i am a crabby person but i have a soft spot for animals .
W: i only like to eat animals . they look funny
",1
13,"I: hi , i am kera and i am a social butterfly
W: hi . i am more the mousy type . numbers are my world at my day job . you ?
I: i work for a tech firm , i am a tom girl
W: i am just an ohio mom with two amazing sons . not married though .
I: cool . i have no kids just my pet turtle timothy
W: great pet name . i do not have any pets unless you count my car , sally .
I: lol . . . so are you enjoy fall ? i love it
W: yep . the leaves change here and it is beautiful . i like to hike in fall .
I: i am ready to wear my jeans and boots
W: it is a great time of year for sure . do you have any hobbies ?
I: ultimate frisbee and making new friends . you ?
W: too busy with the boys for much besides hiking .
I: that means you are a good mom . spending all your time with them
W: being a single parent is not easy . thanks for the encouragement .
",1
14,"I: hello there . how are you today ?
W: oh i am so well ! how are you my land friend ?
I: great , thanks . getting ready to go to work , so my wife can spend it .
W: oh i spend most of my time at school , when i am not in the water .
I: i spend most of my time playing poker . i have triplets . they are everywhere .
W: how sweet ! do you live on land ? i live way under the sea !
I: unfortunately , i live on land . i am a boat builder , a carpenter .
W: oh so you have legs and feet ?
I: i do . can i send my only girl to be a mermaid like you ?
W: well if you can find a sea hag to turn her into one .
I: wonder if that is what my mother in law is ?
W: no mother in laws i hear are far worse .
I: they are . i have had two of them .
W: you have two ? do you have two wives ?
",1
15,"I: hi here i am in sunny california . where do you live ?
W: i live in florida but my family is from toronto
I: oh i see . moving to the east coast next year to the big apple .
W: cool . how old are you ?
I: now i am 23 and acting is my profession . also do a little runway modeling .
W: nice . i am 16 and i would like to be in the army
I: what do you do for fun ? in california most do surfing .
W: i like making websites and i drink a lot of lipton
I: you are too young for the army better look elsewhere .
W: what type of job should i look at ?
I: websites are good for income , too . do you skate ?
W: i do ! i play ice hockey sometimes
I: i skate on ice and on the roller rinks too .
W: can you do lots of tricks ?
I: the only trick i can not do is sing .
W: can you play any instruments ?
",1
16,"I: hey how are you today
W: hello , my leg is really giving me pain today .
I: i am sorry hope you feel better soon .
W: thank you . what are you doing ?
I: getting ready to take my wife and kids to dinner
W: i am just about to cook dinner ; what will you order ?
I: i think my youngest son said he wanted pizza
W: i like pizza . do you let your son make the decisions ?
I: no we take turns it was his turn tonight .
W: that is lucky for him .
I: yeah but we all like pizza so everyone is happy .
W: well that is nice that you all get along .
I: yeah . what do you do for a living
W: well , i ride show horses , but i am hoping to retire soon , you ?
I: i work as a carpenter and play poker for fun
W: that sounds fun ! i have not played poker .
",1
17,"I: what music do you like , i enjoy bluegrass .
W: i prefer pop music . i try to stay up with the trends .
I: skateboarding is my job at times and i am still pretty good
W: you skateboard professionally ? wow , how exciting ! lots of travel ?
I: on weekends and i gave up eating potato chips to try to stay slim
W: what do you do for a living ?
I: retired now after my tailbone was removed due to a birth defect .
W: oh my , and i thought my life was dramatic ! do you have a family ?
I: pretty much alone now after leaving hollister where i worked in high school
W: love is hard and hurtful . alone is best , i have found .
I: you speak of things so true and thanks for the positive talk
W: my best friend betrayed me jerry springer style in high school and it still stings .
I: oh i am so sorry people need prayer
W: so very true . i try to focus on my education instead of my heartache .
",1
18,"I: hi there . i am a hair dresser . want to chat ?
W: hi , sure if you stop cutting womens hair so short
I: but i am so used to cutting hair short , i give my three dogs buzz cuts .
W: i am a chef and i can cook good but i am not happy about my weight .
I: oh a chef can you make me a cheese pizza ? i am starving !
W: short hair is ok for guys and dogs but my husband hates it on women .
I: i have short hair but i may grow it out for my fave holiday christmas .
W: i can make 5 different kinds depending what cheese and toppings
I: i just prefer a plain cheese pizza .
W: i have 3 hungry kids and a husband to cook for . luckily he works at night .
I: i would be so lonely if my husband was not here at night .
W: i am a chef during the day at work and again at home for the kids
I: how long have you been a chef ?
W: we like our schedule . that way we do not get tired of each other
I: that makes sense . all couples need alone time .
W: 10 years and people say i am an awesome cook . lots of repeat customers
",1
19,"I: there are four people in my family . how about yours ?
W: just two right now and a siamese cat .
I: those are beautiful ! i do not own any since i am in school .
W: oh , i no longer work at the bank but for exercise walk a mile a day .
I: my idea of exercise is dancing while i listen to music i like .
W: better than walking alone . i also make quilts and give them away to family .
I: that would be nice for someone like me . i am only five feet tall .
W: what is your major in school ?
I: psychology . my one sibling and two parents are like strangers . i can pick their brains .
W: have your very own test subjects .
I: yes , that is my thought exactly .
W: well , got to go now . . . . see you .
I: see you ! time to go listen to that music i love .
W: okay going out to walk some more .
",1
20,"I: hi ! i drive a ford truck ! what o you drive ?
W: i drive a toyota ! what is your favorite band ?
I: a christian rock band called p . o . d .
W: i am still rocking to nirvana . i love animals !
I: that is cool ! i grew up super conservative
W: my grandfather , all my uncles and my dad were police officers .
I: my dad , who lives right down the street , is a police officer too !
W: i have always wanted to be a cop . i work with animals .
I: i love animals ! since i grew up conservative i got to church every sunday
W: that is pretty sweet . i love making everyday sunday i cant get him off my mind .
I: amen ! what do you do for fun ?
W: i like to run , create art , and take naps ! how about you ?
I: naps are my favorite ! i like to shoot guns and ride horses
W: i want a ranch full of animals . i am getting hungry . i need to start making dinner .
I: i was just thinking the same thing !
W: what are you going to make ? give me some ideas ! !
",1
21,"I: hello there , how are you today ?
W: just as fantastic as i possibly can be and yourself ?
I: i am doing so good thank you ! lots of studying tonight for me .
W: what are you studying , may i ask ?
I: i am studying law currently . kind of a challenge but worth it !
W: cool i am in jail right now so can i ask you some questions ?
I: wow i am sorry to hear that . sure ask away .
W: so i am here for selling sea monkeys like you see in comic books
I: really ? that sounds really interesting . how does that work ?
W: what do you mean ? i got convicted for mail fraud cuz sea monkeys do not exist
I: i always thought they were real ! oh now i understand what happened .
W: yes i thought they were real too , i got duped by my supplier
I: your lawyer should have helped you . we did not learn much about fraud yet .
W: yeah i had this tiny little nun public defender she slapped witnesses with a ruler !
I: that is disappointing . sorry my dog max was talking to me .
W: next thing i know i am peeling onions and my cell mates cat is pissing on my bunk !
",1
22,"I: hi how are you doing ?
W: i am well an you ? like dogs .
I: yes i have 2 german shepards
W: names ? i have 3 dogs
I: i have a boy and a girl diesel and nala
W: awe how old are they ?
I: 26 where did you go to school i attended university of mississippi
W: i went here in ohio like pizza ?
I: yes i do i usually order it every friday i am a real estate agent
W: what is your favorite holiday ?
I: earth day since that what i do environmentalist
W: my fav is christmas i love that day
I: for the presents ? or family
W: both i just love it , need your hair done ?
I: i need a trim is that what you do ?
W: yes i can do all that when you need me ?
",1
23,"I: hello , how are you doing today ?
W: i am doing pretty good , how are you ?
I: great , what is your favorite color ?
W: green . what do you do for fun ?
I: green is my favorite too ! i collect teddy bears . you ?
W: kool ! i like to play fantasy video games .
I: like stuff where you are a medieval hero or something ?
W: just like that , i also build model spaceships in my free time .
I: that is cool . do you have any zoos where you live ?
W: yes , we do . do you like animals ?
I: yes , i really love bears . you ?
W: not really , i am pretty shy . i like cats .
I: i like cats too . but i have a dog named banjo .
W: kool , what kind of dog is he ?
",1
24,"I: hello , how are you ? did you eat your bacon this morning ?
W: no ! i am a jew ! i assume you like bacon ?
I: i like meat . steaks are cool too . you can have one of those
W: yeah , that is fine . i prefer savoury foods to sweet anyway . do you like music ?
I: i do . i have a killer stereo in my raptor . do you like to hike and camp ?
W: i would , but i live in new york so do not drive , which is difficult
I: that would be difficult . what about central park ?
W: could hike there , but camping might be tricky ? do you watch much tv
I: no , i do not . mom is a nurse and sleeps during the day .
W: tricky what about in the evening ? the office is my fave at the moment
I: i work in the evenings , i do not get home until after midnight .
W: gosh , i thought all the children would need to be asleep by then
I: i am not a child , lol . i built mom a new home last fall .
W: impressive you are obviously a hard worker
",1
25,"I: i really need to make this chat quick because i need to go to bed
W: ok lets do it . movies ?
I: i get up early and brightly but no cats
W: i was born in south carolina you ? i am a singer
I: no i m allergic to the fair of cats traps are usually do it
W: my name is joanna and i like horror films
I: i do crafts for ordering the pham
W: interesting , what do you do for work ?
I: in a very small town that s where i need
W: i can understand that .
I: i mean that s where i live how about you
W: big city now . helps with my career in singing
I: so what do you see any music you sing
W: mostly country . like the way it makes me feel and relates to life
I: you re awesome i hope i can do that
W: took a very long time for me to land a deal .
",1
26,"I: hi how are you today
W: hey there ! i am wonderful how are you doing today ?
I: pretty good do you work ?
W: i am a singer actually which can be work but i love it , how about you ?
I: i enjoy music too what kind
W: folk music , its kind of like storytelling . people dig it , you listen to music ?
I: i do how tall are you ?
W: i am average height , i am the shortest of my 3 sisters . you ?
I: i am only 5 ft tall
W: do you have any siblings ?
I: i do we have 4 people in our family
W: do you work ? or your parents work ?
I: i am currently in school
W: college ? studying anything in particular ?
I: general studies now . and you ?
W: just music right now , its pretty great . dad drove a semi , mom stayed home
",1
27,"I: hi . how are you ? sittin on the beach myself .
W: hello , i am ok just hanging out here . do you have pets ?
I: no , no pets . but i loves horses , they are my favorite .
W: i work as a carpenter , stay at home mostly . kinda a loner
I: i like to build things . my pops sell cars but that is not for me .
W: i can not see my self as a salesman not good at socializing
I: i feel ya on that . i have social anxiety . hate going out .
W: i use to drink a lot and since i quit so did my friends
I: that is a good thing to quit . that is a biased opinion though .
W: i would agree that is it good . my friends were not true friends
I: nope . not if they bailed like that . that is garbage .
W: well that is human nature min . you are no fun people run .
I: i do not drink and we have a blast . we smoke though . a lot .
W: lol that can be just has fun or bad just depends if you are responsible
I: we are all responsible . but we still smoke a lot . makes the days easier .
W: i can see that , i did some back in my younger days
",1
28,"I: hello , how are you today ?
W: hello i am doing well . hanging out with my dog pedro
I: what kind of dog is he ?
W: he is a yorkie . perfect size for me since i am only five feet tall .
I: how old is your dog ?
W: he is five . he likes to eat muffins like me .
I: do you take him to the dog park ?
W: yes , there is one at my job at the healthcare industry .
I: do you like your job ? i am in real estate .
W: yes . i also like film do you ?
I: i like movies about history .
W: so do i . i also like documentaries , do you ?
I: yes , i like most of them . as long as it is something i am interested in .
W: same here . anything else you want to share with me ?
I: sure , i like working on cars .
W: what kind of cars ? my car needs to get fixed . maybe you can find mine ?
",1
29,"I: how are you today ? i like you
W: i am great . just relaxing and knitting some hats for the babies at my old job .
I: where did you use to work ?
W: childrens hospital until i became disabled . what do you do ?
I: i rent out houses to people
W: that is a great industry . what kind of music do you like ?
I: like people who are handy ?
W: yes . i love to cook and i am looking for someone to build me some cooling racks .
I: lol , i like classic cars
W: me too what is your favorite ? chevelle ? cadillac ? oldsmobile ?
I: i get sick on seafood
W: i prefer to cook vegan food . what do you like to eat ?
I: i like to eat fried foods
W: well they are not good for you but they taste great ! do you like french fries ?
I: i do they so good too
W: do you have any plans for the weekend ?
",1
30,"I: hi there . how are you ?
W: i am great . what are you doing up so late ?
I: i don not know . i should be asleep . i am more of an early bird . you ?
W: i am definitely a night owl . you know chatting will nott help you sleep .
I: i know i have been working on s quilt and i do not wanna put it down
W: i know how that is . i love to craft but being colorblind makes it hard
I: oh really that sucks . what do you usually like to do then ?
W: i love to sing . sometimes i go sing karaoke .
I: oh fun . i have not done karaoke in a long time lol
W: you should , it is great fun !
I: i do not have much time . i homeschool my son so all my energy goes into that .
W: that must be a lot of work but very rewarding i bet
I: it is . i enjoy spending time with him . do you have kids ?
W: not yet . i have not found the right man to settle down with .
I: you will find the perfect man . been with my husband for 12 years now . its great .
W: that is a long time . good job ! i am envious
",1
31,"I: hi , i enjoy bodybuilder , what do you do for fun ?
W: i like to be outdoors . hiking , camping , you know
I: do you eat a lot of meat outdoors ? like hunting ? i love meat
W: sometimes i will fish on my trips , but that is it .
I: nice , do you go alone or with siblings ? i go with my brother fishing
W: i do not have any siblings . i go alone or with friends
I: wow , what does your mom do ? my mom works as a secretary
W: she is a nurse in a hospital
I: nice , please tell me more
W: there is not much to tell . i drive her to work sometimes in my truck
I: do you body build at all like me ?
W: no , i never got into it
I: well you should , my brother loves bodybuilding
W: good for him . i love my stereo
I: what other things do you like to do ?
W: fix things on my truck
",1
32,"I: hello how are you ?
W: i am fine shopping for clothes wyd ?
I: what kind of clothes ? i am just playing with ginger my golden retriever
W: i like jeans an boots
I: what is your favorite store ? i did not shop at all when i studied abroad
W: amazon is my favorite store , you cannot go wrong .
I: do you not worry about trying on clothes first ? i buy model cards from there
W: no i pick pretty well trust me
I: do you have any kids ? i just had my first daughter
W: no i do not an have a good 12
I: do you want any kids ? what is your favorite movie ?
W: i do but not now
I: have a boyfriend ? girlfriend ?
W: i do not especially becoming a certified nurse !
I: that must be a hard job do you enjoy it ?
W: yes i love it an shopping an my sis
",1
33,"I: hey there how are you ?
W: not bad its a beautiful night in california and you ?
I: it is pretty cold here , like body builders ?
W: yes they are pretty cool
I: yes i try to be
W: haha do you ever cosplay i got into it lately at school
I: no i do not i just write a blog on rabbit rescues lol
W: nice i go to homeschool but they let me do events at public school
I: really that is cool you like ?
W: its ok parents pulled me from public saying its too dangerous
I: i understand i would probably do the same
W: what color is your hair ? i dyed mine blue and not sure why
I: mine is black as of now
W: cool do you like robots ? i have one that is really cool
I: what is it named after ? you ?
W: no i named it sita from a book
",1
34,"I: hello , how are you tonight
W: i am fine and you
I: very well , thank you for asking . planning my garden for next year .
W: amazing fresh foods and veggies sounds yummy
I: they are , i will use my garden as a teaching environment too
W: awesome . tell me more about yourself
I: what do you do for a living ?
W: i work at the hospital in labor and delivery
I: that sounds so fun ! the little ones are so adorable .
W: i work around them so much i do not want none
I: i can understand that , as a few friends have said the same thing .
W: plus i work out in the gym 7days a week no time
I: i need to get back in the gym
W: its so much fun . i am single and alone so i use it to catch women
I: does that work ? because i avoid men at the gym
W: yes it does . it depends on the woman
",1
35,"I: hi , how has your day been ?
W: great and how was your day ?
I: long day at work . teaching elementary wears me out .
W: i can imagine . i thought about having children but i am not ready yet .
I: it is worth it when the time comes ! what do you do ?
W: i am in fashion design school . i want to have my own fashion line one day .
I: oh my wife wanted to do the same thing . cooking is my passion .
W: what dish do you like to cook the most ?
I: honey teriyaki glazed salmon on the grill
W: yum . that sounds absolutely delicious . i would love to try it .
I: i also really enjoy reading . any other hobbies you have outside of fashion ?
W: i have been doing community service for stealing .
I: oh no ! well at least that will take it off of your record
W: i have been so confused lately . my parents were never there .
I: i hope you have some people now to reach out too
W: i had a best friend but she took my boyfriend . we no longer speak .
",1
36,"I: hi there , how are you today ?
W: i am great ! just got home from working with dogs all day !
I: oh you have dogs ? i have two chow chow .
W: i love dogs ! i have dogs and i get to train them at work , too !
I: i wish i could take my dogs out . i just had a surgery not long ago .
W: i hope you feel better soon . what do you like to do for fun ?
I: i like to go hiking . you ?
W: i love to dance . and bake i love sweets !
I: i like to travel as well . i am going to budapest on an acting assignment .
W: how fun ! what a great place to take pictures !
I: i eat sardines every morning to keep my weight down , no sweets .
W: woah ! salty ! i bake every weekend , so luckily i work out regularly !
I: i am studying for my ged so i bring my books on the trade mill .
W: that sounds like hard work !
I: not really , the two hours hot yoga daily is a hard work .
W: hot yoga is great . good thing to do after a weekend of brownies and cupcakes !
",1
37,"I: hey there like to workout ?
W: not really . i enjoy video games and reading mostly . do you workout ?
I: yes i do all the time
W: are you a bodybuilder ? what do you do for a living ?
I: no no body builder but i am a vegan
W: that is interesting . i am also a vegan and a vet . i love animals .
I: really wow , any siblings ? all i have is my dad an bro
W: a sister in california , where we grew up . i am in florida now . you ?
I: i like to listen to trap queen an gucci do you ?
W: yes ! i rap on the weekends myself too . my friends like country , boo .
I: really ? going to watch gucci get married tomorrow ? 10 17
W: i did not even know gucci was getting married . who to ?
I: keisha they are so cute together
W: do they have any kids together ?
I: no not yet i can not wait till they do
W: i bet they will be so cute . and their names will be off the hook .
",1
38,"I: hello , i love fashion and hope to be a doctor one day . you ?
W: hello , i am an accountant from ohio . i have two boys and i am single .
I: student , male , divorced , ex named doug . i own a beetle .
W: oh a beetle how cool . i have a boring honda civic . what are your hobbies ?
I: wow ! i make book covers in my free time . i am published also .
W: how amazing ! i love to go hiking . what books have you written ?
I: angel investor and if i can help someone are my recent books . hiking huh ?
W: very cool ! yes , i love to hike you get some beautiful views !
I: you are right ! if you take pictures you can sell them online . i love clothes .
W: i never thought of that . i love clothes as well .
I: i will attend au next year . i continue to write while studying medicine .
W: good luck , being a doctor is hard . maybe you will write medical books .
I: not a chance ! i love making up stories . medicine is too real sometimes .
W: ah , fiction books . as long as you are doing what you love you can not go wrong .
",1
39,"I: hello , how are you this evening ?
W: i am doing great . just watching a movie .
I: that is fun ! where did you work in high school ? i worked at hollister .
W: i worked at dairy queen . i am in school now .
I: ah , cool . i skate for a living .
W: what kind of skating do you do ?
I: skateboarding . i like to play music for fun . my genre is bluegrass .
W: i used to skateboard . now i just study and play video games .
I: those are fun activities . do you like chips ? i cannot stand them .
W: i love chips so much . what food do you like ?
I: i like pizza . it is very good !
W: i like pizza too . the sauce is the best part .
I: have you had the white sauce ? it is so good !
W: is that like a alfredo sauce ?
I: i think so . i never really know the name of it .
W: i think i ate it once at a party .
",1
40,"I: boy am i tired ! just got done hunting . how are you ?
W: hey , not bad . hunting , that is cool . do you hunt for sport or meat ?
I: meat , not sport . i take old classic cars and make them new again for a hobby .
W: awesome . i love meat . i eat a high protein meat based diet .
I: nice ! looking to rent a property any time soon ?
W: not me , but maybe for my brother . are you a realtor ?
I: no , but i work for a company and could hook you up with a good deal .
W: sweet . i do not work for a company , i do bodybuilding for a living .
I: no wonder you eat so much meat !
W: indeed ! so do you have any family ?
I: i have a husband and 2 kids . fun fact we are all allergic to shellfish .
W: i see ! so besides my brother i have my mom . she is a secretary .
I: are you close with your family ?
W: yes , not married and no kids , so my brother and mom are all i have . you ?
I: makes sense . i am very close with my family as well .
W: do they go hunting with you ever ?
",1
41,"I: hi . hows your night going ?
W: registered nurse it s not raining fine
I: i am relaxing with a book . kids in bed so it it quiet
W: watching one tree hill is relaxing for me
I: i like to cook and hang out with my wife
W: you guys like pizza it s my favorite
I: of course ! its a quick easy dinner for a big family
W: hey i am a cat catholic devout
I: proud republican here ! pretty strong political views
W: i m not remain silent but purple is my favorite
I: i am quiet about it too . . . . . i am a teacher so i have to watch what i say
W: sorry for the typo what i mean is
I: what you mean is ? another typo ? lol
W: i m having a hard time typing sorry
I: no apologies necessary ! i am getting a bit sleepy so my typing is not great either
W: ok what else do you do for fun
",1
42,"I: hi , how are you ? what is your name ?
W: hi i barb . tired from school . how about you ?
I: my name is pat . just about to head into my garden . what are you studying ?
W: i am going to be a hairdresser . how is your garden coming along ?
I: i use the plants in my biology lectures . do you have any hobbies ?
W: i have an aquarium . i keep exotic fish ! and i collect also .
I: very cool ! i have seen some amazing fish on my travels . do you travel ?
W: i do not get a chance . i kill time with my vintage collection . from 1950s
I: vintage cars ? i have been to 6 countries . i love going on long walks in each country .
W: decorations mainly . that sounds very exciting . alone or with family ?
I: alone . i love to meet new people on my travels . what is your favorite exotic fish ?
W: the nemo looking one . i stare at him when i eat my granola every morning
I: oh , the clownfish ! i researched that for one of my biology studies at the college .
W: where do you go to college ?
I: i went to michigan state but i now teach biology at georgetown . where is your hairdressing school ?
W: harvard school of haircuts . full scholarship , got the full ride .
",1
43,"I: hello how are you today
W: i am well . how are you ?
I: i am doing great just got back from the beach
W: that is great . i live far from the beach .
I: i am very lucky we live beside the beach . what do you do for a living
W: i keep busy with my seven children .
I: wow that much have taken some adjusting i teach kindergarten
W: do you reach mysteries to your children ? they are my favorite type of novel .
I: no they are to young for that . i like mystery novels tho
W: do you teach them about animals , as i grew up on a farm .
I: yeah i teach them about farm animals and pets
W: great , how about colors ? my favorite is blue
I: yeah they learn all about colors and the alphabet .
W: great , anything else you can tell me about yourself ?
I: i have a mustang convertible and married with a son
W: how old is your son ?
",1
